All cities,Lag (weeks),Range (weeks),RMSE,MAE,MAPE
Yes,4,8,1037.7947847294415,384.18520599941036,44.08308462650513
Yes,4,12,994.024880512256,362.0224006940734,34.17696735368083
Yes,4,26,898.1632315491371,356.83356792521926,52.89189766801387
Yes,4,52,1182.9812443404683,467.79900863935364,45.87475794854428
Yes,12,8,1882.697085663408,1000.0280447905918,229.5803651386205
Yes,12,12,1861.2704657393829,1001.5465545654297,247.73711509272025
Yes,12,26,1644.5739038150352,923.2473026491562,242.0573601708844
Yes,12,52,2094.3946216419736,858.1481431205318,82.771318568402
Yes,26,8,1747.625143465667,787.4303150536879,181.59059003276306
Yes,26,12,1965.6102092199962,871.9880065917969,169.7242561770821
Yes,26,26,2059.096949974605,833.7696661319372,86.94277221323921
Yes,26,52,2028.9164128523983,813.5220630573776,84.01084415772517
Yes,52,8,1906.4029837357984,809.7962496775501,177.07633255017294
Yes,52,12,1896.375042493606,758.4987352479179,90.89264399883133
Yes,52,26,1745.6814194398205,766.3455704023253,137.61008231681305
Yes,52,52,2054.8666607159835,869.6313614755306,127.77680730287206
